               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.016055,            0.012577,           0.0087399,             0.94227,             0.95539,             0.98439,             0.75703,           0.0048571,           0.0037994,           0.0012741,            0.005974,            0.005974,            0.005974
                  63,            0.014691,            0.012456,           0.0064177,             0.95036,             0.93699,             0.99045,             0.71893,           0.0054789,           0.0039204,           0.0010683,            0.005908,            0.005908,            0.005908
                  64,            0.014234,            0.011675,            0.004888,             0.97073,             0.94312,             0.98856,             0.65662,           0.0067412,           0.0038959,           0.0011951,            0.005842,            0.005842,            0.005842
                  65,            0.013875,            0.011933,           0.0045992,             0.89377,              0.8799,             0.94832,             0.68825,           0.0069522,           0.0038815,           0.0027969,            0.005776,            0.005776,            0.005776
                  66,            0.014502,            0.012302,           0.0061222,             0.90433,               0.925,             0.96884,             0.72041,           0.0065789,           0.0036964,           0.0023277,             0.00571,             0.00571,             0.00571
                  67,            0.015247,            0.012356,           0.0078163,             0.94491,             0.91411,                0.98,             0.73169,           0.0051132,           0.0038529,           0.0016373,            0.005644,            0.005644,            0.005644
                  68,            0.013601,            0.011833,            0.006031,             0.88929,             0.98596,             0.98167,             0.69799,           0.0052502,           0.0040245,           0.0013977,            0.005578,            0.005578,            0.005578
                  69,            0.013318,            0.012061,           0.0074217,             0.94095,                 0.9,             0.97222,             0.71297,           0.0050019,           0.0043515,           0.0021545,            0.005512,            0.005512,            0.005512
                  70,            0.012731,            0.011368,           0.0045624,             0.87573,             0.93859,             0.97556,              0.7179,           0.0049009,           0.0043001,           0.0021606,            0.005446,            0.005446,            0.005446
                  71,            0.013076,            0.011445,           0.0061089,             0.89694,             0.94015,             0.98006,             0.72691,           0.0053172,           0.0042096,           0.0014858,             0.00538,             0.00538,             0.00538
                  72,             0.01226,            0.011687,           0.0048617,             0.95737,             0.90903,             0.98558,             0.68624,           0.0060718,           0.0040188,           0.0015209,            0.005314,            0.005314,            0.005314
                  73,            0.014972,            0.012125,           0.0058813,             0.96388,                0.95,             0.99045,             0.72567,           0.0056215,           0.0038835,           0.0010815,            0.005248,            0.005248,            0.005248
                  74,            0.013921,            0.012981,            0.005823,             0.91452,             0.92525,             0.98629,             0.66071,           0.0053814,           0.0039635,           0.0022936,            0.005182,            0.005182,            0.005182
                  75,            0.013972,            0.012528,           0.0052125,             0.94427,                0.95,             0.98856,             0.74498,           0.0049733,           0.0038919,           0.0016329,            0.005116,            0.005116,            0.005116
                  76,            0.012335,            0.011415,           0.0056813,             0.98251,             0.94271,             0.99045,             0.66765,           0.0060111,           0.0039959,           0.0011255,             0.00505,             0.00505,             0.00505
                  77,            0.011948,            0.011243,           0.0056805,              0.9258,             0.94524,             0.97915,             0.75426,           0.0050354,           0.0039539,           0.0013306,            0.004984,            0.004984,            0.004984
                  78,            0.013511,            0.012685,           0.0049232,             0.89233,             0.93333,             0.97498,             0.74613,           0.0053155,           0.0039349,           0.0028078,            0.004918,            0.004918,            0.004918
