               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.035481,            0.015847,           0.0018739,             0.65214,             0.73081,              0.6796,             0.29394,            0.045954,           0.0075274,            0.013474,            0.002179,            0.002179,            0.002179
                  81,            0.038273,            0.016305,           0.0032703,             0.62823,              0.6904,             0.67205,             0.30302,            0.046098,           0.0075628,            0.016302,             0.00208,             0.00208,             0.00208
                  82,            0.035632,            0.017287,           0.0017792,             0.64536,             0.72744,             0.68101,             0.30807,            0.046735,            0.007409,            0.014959,            0.001981,            0.001981,            0.001981
                  83,            0.036426,            0.016734,           0.0029603,             0.64281,             0.70892,             0.66825,             0.30051,            0.047518,           0.0074393,            0.014431,            0.001882,            0.001882,            0.001882
                  84,            0.035435,            0.015571,           0.0018137,              0.6508,             0.72744,             0.67794,             0.30845,            0.046769,           0.0074282,             0.01588,            0.001783,            0.001783,            0.001783
                  85,            0.034746,            0.016399,           0.0014803,             0.66952,             0.76111,             0.69353,              0.2957,            0.046577,           0.0073913,            0.015931,            0.001684,            0.001684,            0.001684
                  86,             0.03629,            0.015887,           0.0010885,             0.68379,             0.70758,             0.69415,             0.30594,            0.047982,           0.0074705,            0.015618,            0.001585,            0.001585,            0.001585
                  87,            0.032946,            0.015768,          0.00096905,             0.68276,             0.78016,             0.69788,             0.30168,            0.046968,           0.0076417,            0.015881,            0.001486,            0.001486,            0.001486
                  88,            0.034835,            0.016434,             0.00165,               0.677,             0.74933,             0.68784,             0.30914,             0.04558,           0.0076343,            0.016977,            0.001387,            0.001387,            0.001387
                  89,            0.032981,            0.016081,           0.0013739,             0.68322,             0.73418,             0.68306,             0.29913,            0.045654,           0.0075846,            0.016346,            0.001288,            0.001288,            0.001288
                  90,            0.035001,            0.016051,           0.0013616,             0.63433,             0.71616,             0.67036,             0.31085,            0.046421,           0.0077025,            0.015034,            0.001189,            0.001189,            0.001189
                  91,            0.034795,            0.015521,            0.001055,             0.69332,             0.65225,             0.67411,             0.31172,            0.047081,           0.0077516,            0.017374,             0.00109,             0.00109,             0.00109
                  92,            0.034146,             0.01691,           0.0020164,             0.68272,             0.70387,              0.6806,                0.32,            0.046917,           0.0077271,            0.017103,            0.000991,            0.000991,            0.000991
                  93,            0.032497,            0.015078,           0.0013518,             0.71681,             0.72799,             0.69396,             0.32719,            0.046379,           0.0076406,            0.017982,            0.000892,            0.000892,            0.000892
                  94,            0.033337,            0.014839,           0.0029177,             0.65279,             0.74933,             0.68109,             0.31968,            0.045902,            0.007618,            0.017732,            0.000793,            0.000793,            0.000793
                  95,            0.033908,            0.015986,          0.00078761,             0.65587,             0.76448,             0.69175,              0.3193,            0.045161,            0.007618,            0.017805,            0.000694,            0.000694,            0.000694
                  96,            0.032855,            0.015221,           0.0015779,              0.6433,             0.73552,             0.69333,             0.31165,            0.044894,           0.0076243,            0.017876,            0.000595,            0.000595,            0.000595
                  97,            0.031291,            0.015888,           0.0007511,             0.65321,             0.75212,             0.69693,             0.33247,            0.044702,            0.007632,            0.017802,            0.000496,            0.000496,            0.000496
                  98,            0.032664,            0.015286,          0.00085925,             0.69217,             0.75165,             0.69326,             0.33225,            0.044618,            0.007659,            0.017452,            0.000397,            0.000397,            0.000397
                  99,            0.033965,            0.015685,           0.0011633,             0.71465,             0.72658,             0.69324,             0.32999,            0.044644,            0.007654,            0.017217,            0.000298,            0.000298,            0.000298
